Date,Event
1396/05,انتصاب سید محمود هاشمی شاهرودی به عنوان سومین رئیس مجمع تشخیص مصلحت نظام
1396/10,آغاز اعتراضات سراسری بر ضد حکومت جمهوری اسلامی و کشته شدن دست کم ۵۰ تن از معترضان توسط جمهوری اسلامی
1396/10,راهپیمایی هایی هواداران جمهوری اسلامی بر ضد اعتراضات سراسری مردم
1396/10,حادثه نفت کش سانچی
1396/11,آغاز اعتراضات گلستان هفتم دراویش گنابادی به ایجاد محدودیت و حصر خانگی علیه نورعلی تابنده
1396/11,سقوط هواپیمای شماره ۳۷۰۴ در اثر اصابت به کوه دنا
1397/02,آغاز فیلترینگ تلگرام در ایران توسط حکومت
1397/02,خروج آمریکا از برجام و بازگشت تحریم ها
1397/02, آمریکا از برجام و بازگشت تحریم‌ها
1397/05,آغاز اعتراضات مرداد ۱۳۹۷ ایران
1397/06,حمله به رژه نظامی در اهواز
1397/07,عملیات ضربت محرم در پاسخ به حمله به رژه نظامی در اهواز
1397/10,درگذشت سید محمود هاشمی شاهرودی
1397/10,انتصاب صادق لاریجانی به عنوان چهارمین رئیس مجمع تشخیص مصلحت نظام
1397/10,سقوط هواپیمای بوئینگ ۷۰۷ ارتش جمهوری اسلامی ایران
1397/11,حمله به اتوبوس کارکنان سپاه زاهدان توسط گروه جیش العدل و کشته شدن ۲۴ تن
1397/12,انتصاب سید ابراهیم رئیسی به عنوان هفتمین رئیس قوه قضائیه
1398/01,قرار گرفتن سپاه پاسداران در فهرست گروه های تروریستی از سوی دولت آمریکا
1398/03,سرنگونی پهپاد آمریکایی توسط ایران
1398/06,خودسوزی دختر آبی
1398/08,آغاز اعتراضات سراسری در آبان ماه به گرانی قیمت بنزین و قطعی سراسری اینترنت و کشته شدن بیش از ۱٫۵۰۰ تن از معترضان به دست حکومت جمهوری اسلامی
1398/09,شروع شیوع ویروس کرونا (کووید-۱۹)
1398/10,حمله هوایی آمریکا در فرودگاه بین المللی بغداد و کشتن قاسم سلیمانی و ابومهدی المهندس
1398/10,حمله نیروی هوافضای سپاه پاسداران به پایگاه آمریکایی عین الاسد در عراق در پاسخ به کشتن قاسم سلیمانی
1398/10,اعتراضات مردمی در پی سرنگونی پرواز شماره ۷۵۲ هواپیمایی بین المللی اوکراین توسط سپاه پاسداران
1398/11,آغاز دنیاگیری کووید-۱۹ در ایران
1399/01,کاهش شدید قیمت نفت (در اثر بحران کرونا)
1399/02,سانحه شناور پشتیبان کنارک
1399/03,آغاز به کار دوره یازدهم مجلس شورای اسلامی با اکثریت جناح اصول گرایان به ریاست محمدباقر قالیباف
1399/04,انفجار تأسیسات هسته ای نطنز
1399/05,"ترور عبدالله احمد عبدالله، فرد دوم القاعده، به همراه دخترش، در خیابان پاسداران تهران"
1399/08,انتخاب جو بایدن به‌عنوان رئیس‌جمهور آمریکا
1399/09,ترور محسن فخری زاده در جریان جنگ نیابتی ایران و اسرائیل و ترور شخصیت های هسته ای ایران
1399/09,درگذشت محمد یزدی
1399/09,اعدام روح الله زم توسط حکومت به اتهام محاربه
1399/10,درگذشت محمدتقی مصباح یزدی
1399/10,رشد و نوسانات بیت‌کوین
1400/01,انعقاد برنامه ۲۵ ساله همکاری های مشترک ایران و چین
1400/03,انتخاب سید ابراهیم رئیسی به عنوان هشتمین رئیس جمهور ایران
1400/04,انتصاب غلامحسین محسنی اژه ای به عنوان هشتمین رئیس قوه قضائیه
1400/04,آغاز اعتراضات تابستان ۱۴۰۰ ایران
1400/08,آغاز اعتراضات مردم اصفهان به علت خشکسالی در بستر زاینده رود
1400/09,درگیری های ۱۴۰۰ ایران و طالبان
1400/09,انتشار GPT-3 توسط OpenAI
1400/09,مذاکرات وین برای احیای برجام
1400/11,درگذشت لطف الله صافی گلپایگانی
1400/12,حمله موشکی سپاه پاسداران به اربیل عراق
1400/12,جنگ روسیه و اوکراین
1401/01,حادثه ۱۴۰۱ حرم امام رضا
1401/03,فروریختن ساختمان متروپل در آبادان
1401/05,"حمله با چاقو به سلمان رشدی و حمایت جمهوری اسلامی از این عمل، با پشتوانه فتوای خمینی به ارتداد سلمان رشدی، پس از انتشار کتاب آیات شیطانی"
1401/06,کشته شدن مهسا امینی و آغاز اعتراضات سراسری مردم در اعتراض به حجاب اجباری با هدف سرنگون کردن جمهوری اسلامی و کشته شدن بیش از ۵۰۰ نفر از معترضان به دست حکومت جمهوری اسلامی
1401/06,"فیلترینگ شدید اینترنت و مسدود کردن اینستاگرام، واتساپ و گوگل پلی توسط حکومت"
1401/07,حملات موشکی سپاه پاسداران به اقلیم کردستان عراق در پاسخ به حمایت احزاب کرد از خیزش ۱۴۰۱ ایران
1401/07,جمعه خونین زاهدان
1401/07,حمله به دانشگاه صنعتی شریف
1401/07,آغاز بحران ارزی ۱۴۰۱ ایران و در نهایت رسیدن قیمت سکه طلا از ۱۵ میلیون به رکورد ۳۰ میلیون تومان در ۴ اسفند و رسیدن قیمت دلار آمریکا از ۳۰ هزار تومان به رکورد ۶۰ هزار تومان در ۷ اسفند ۱۴۰۱
1401/07,آتش سوزی زندان اوین
1401/08,حمله ۱۴۰۱ حرم شاهچراغ
1401/08,جمعه خونین خاش
1401/08,حمله به بازار ایذه
1401/08,آغاز سرکوب خیزش شهرهای کردنشین ایران
1401/09,آغاز مسمومیت زنجیره ای در مدارس دخترانه ایران
1401/09,اخراج جمهوری اسلامی ایران از کمیسیون مقام زن سازمان ملل متحد در جریان خیزش ۱۴۰۱ ایران
1401/10,تصویب قطعنامه پارلمان اروپا مبنی بر قرار گرفتن سپاه پاسداران در فهرست گروه های تروریستی در جریان خیزش ۱۴۰۱ ایران
1401/11,حمله پهپادی به تأسیسات نظامی در اصفهان
1402/03,درگیری ۱۴۰۲ ایران و طالبان
1402/03,بازگشایی سفارت ایران در ریاض پس از هفت سال تعطیلی در اثر حمله به سفارت و کنسولگری عربستان سعودی در ایران و از سرگیری روابط دو کشور
1402/04,عضویت اصلی ایران در سازمان همکاری شانگهای به صورت رسمی
1402/04,حمله به کلانتری ۱۶ زاهدان
1402/05,حمله ۱۴۰۲ حرم شاهچراغ
1402/08,آتش سوزی کمپ ترک اعتیاد لنگرود
1402/08,انتخابات میان‌دوره‌ای کنگره آمریکا
1402/09,افشای رسمی فساد مالی چای دبش
1402/09,حمله به مقر فرماندهی انتظامی راسک
1402/10,عضویت رسمی ایران در سازمان بریکس
1402/10,انفجارهای کرمان
1402/10,حملات موشکی ۲۰۲۴ ایران در عراق و سوریه
1402/10,درگیری مرزی ۲۰۲۴ ایران و پاکستان
1403/01,حمله هوایی به کنسولگری ایران در دمشق توسط اسرائیل و آغاز درگیری ۲۰۲۴ ایران و اسرائیل
1403/01,"حمله به مقرهای نظامی چابهار، راسک و سرباز توسط جیش العدل"
1403/01,اولین حمله ایران به اسرائیل
1403/01,اولین حمله اسرائیل به ایران
1403/02,سانحه سقوط بالگرد حامل رئیس جمهور و کشته شدن سید ابراهیم رئیسی و همراهانش
1403/02,"آغاز به کار معاون اول رئیس جمهور، محمد مخبر، به عنوان سرپرست ریاست جمهوری"
1403/03,انتخاب محمدعلی موحدی کرمانی به عنوان ششمین رئیس مجلس خبرگان رهبری
1403/03,آغاز به کار دوره دوازدهم مجلس شورای اسلامی با اکثریت جناح اصول گرایان به ریاست محمدباقر قالیباف
1403/03,قرار دادن سپاه پاسداران در فهرست گروه های تروریستی توسط کانادا
1403/04,برگزاری انتخابات ریاست جمهوری ایران (۱۴۰۳) با پایین ترین نرخ مشارکت در تاریخ جمهوری اسلامی (۳۹٫۹۲٪) و صعود مسعود پزشکیان و سعید جلیلی به دور دوم
1403/04,برگزاری دور دوم انتخابات ریاست جمهوری ایران (۱۴۰۳)
1403/04,انتخاب مسعود پزشکیان به عنوان نهمین رئیس جمهور ایران
1403/05,برگزاری مراسم تنفیذ و تحلیف چهاردهمین دوره ریاست جمهوری در ایران
1403/05,"ترور اسماعیل هنیه، رهبر وقت حماس، در تهران توسط اسرائیل، یک روز پس از شرکت وی در مراسم تحلیف ریاست جمهوری"
1403/06,"انتصاب عبدالکریم حسین زاده به منصب معاونت امور توسعه روستایی، مناطق محروم و عشایر رئیس جمهور به عنوان نخستین عضو سنی مذهب هیئت دولت ایران در تاریخ جمهوری اسلامی"
1403/07,"کشته شدن سید حسن نصرالله ، سومین دبیر کل حزب الله لبنان و عباس نیلفروشان ، معاون عملیات سپاه پاسداران در اثر حمله اسرائیل به ضاحیه بیروت"
1403/07,دومین حمله ایران به اسرائیل
1403/08,دومین حمله اسرائیل به ایران
1403/08,انتخاب دونالد ترامپ به‌عنوان رئیس‌جمهور آمریکا
